Cody's fc2 test
SEC,East,West,
ACC,Atlantic,Coastal,,,,,,,,
# Pac 12,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,88,ORST,,,,
TEAM,Pac 12,North,Notre Dame,ND,90,USC,,,,
TEAM,Pac 12,North,Washington,WASH,86,WSU,,,,
TEAM,Pac 12,North,Stanford,STAN,85,CAL,,,,
TEAM,Pac 12,North,Washington St,WSU,78,WASH,,,,
TEAM,Pac 12,North,California,CAL,79,STAN,,,,
TEAM,Pac 12,North,Oregon St,ORST,65,ORE,,,,
TEAM,Pac 12,South,USC,USC,89,ND,,,,
TEAM,Pac 12,South,UCLA,UCLA,84,UTAH,,,,
TEAM,Pac 12,South,Utah,UTAH,80,UCLA,,,,
TEAM,Pac 12,South,BYU,BYU,76,COLO,,,,
TEAM,Pac 12,South,Arizona,ARIZ,74,ASU,,,,
TEAM,Pac 12,South,Arizona St,ASU,75,ARIZ,,,,
TEAM,Pac 12,South,Colorado,COLO,65,BYU,,,,
# AAC,,,,,,,,,,
TEAM,AAC,West,Houston,HOU,79,SMU,,,,
TEAM,AAC,West,Memphis,MEM,80,CIN,,,,
TEAM,AAC,West,SMU,SMU,70,HOU,,,,
TEAM,AAC,West,App State,APP,70,TROY,,,,
TEAM,AAC,West,Navy,NAVY,75,ARMY,,,,
TEAM,AAC,West,Tulane,TULN,60,ECU,,,,
TEAM,AAC,West,Tulsa,TLSA,55,TEM,,,,
TEAM,AAC,East,UCF,UCF,85,USF,,,,
TEAM,AAC,East,Cincinnati,CIN,78,MEM,,,,
TEAM,AAC,East,South Florida,USF,75,UCF,,,,
TEAM,AAC,East,Troy,TROY,70,APP,,,,
TEAM,AAC,East,Temple,TEM,70,TLSA,,,,
TEAM,AAC,East,East Carolina,ECU,65,TULN,,,,
TEAM,AAC,East,Army,ARMY,75,NAVY,,,,

END_FILE,,,,,,,,,,
